epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
83,2367.59,1.09302,0.52866,0.00142,0.93296,0.94893,0.97967,0.79032,0.94425,0.38101,0.00192,0.0001882,0.0001882,0.0001882
84,2396.66,1.09775,0.50877,0.00141,0.95271,0.93878,0.98006,0.79221,0.93654,0.3736,0.0019,0.0001783,0.0001783,0.0001783
85,2425.22,1.14255,0.5407,0.00146,0.95353,0.93958,0.97993,0.79185,0.94269,0.3756,0.00191,0.0001684,0.0001684,0.0001684
86,2452.09,1.09444,0.50128,0.00144,0.93736,0.94872,0.97982,0.79085,0.94035,0.37419,0.00191,0.0001585,0.0001585,0.0001585
87,2480.54,1.11079,0.52219,0.00142,0.9314,0.95344,0.97869,0.78515,0.95485,0.37807,0.00191,0.0001486,0.0001486,0.0001486
88,2509,1.09502,0.53276,0.00137,0.94831,0.94384,0.97991,0.79097,0.94037,0.3696,0.0019,0.0001387,0.0001387,0.0001387
89,2537.8,1.09488,0.50118,0.00138,0.95723,0.94288,0.98139,0.79487,0.93223,0.36436,0.00189,0.0001288,0.0001288,0.0001288
90,2567.37,1.07032,0.49913,0.00139,0.94251,0.95175,0.98089,0.79644,0.93018,0.36454,0.00188,0.0001189,0.0001189,0.0001189
91,2597.26,1.08847,0.50377,0.00162,0.95819,0.93982,0.97981,0.79109,0.94455,0.37509,0.0019,0.000109,0.000109,0.000109
92,2623.33,1.05793,0.52115,0.00156,0.95346,0.93779,0.97921,0.78816,0.94903,0.37423,0.00193,9.91e-05,9.91e-05,9.91e-05
93,2651.24,1.08086,0.50551,0.00156,0.94927,0.9418,0.97896,0.7879,0.9463,0.37328,0.0019,8.92e-05,8.92e-05,8.92e-05
94,2678.65,1.04859,0.48924,0.0015,0.94871,0.94449,0.97963,0.79016,0.94885,0.37286,0.00191,7.93e-05,7.93e-05,7.93e-05
95,2704.95,1.05023,0.46751,0.0015,0.94823,0.94325,0.97945,0.79172,0.94337,0.37262,0.0019,6.94e-05,6.94e-05,6.94e-05
96,2731.59,1.04246,0.45336,0.0015,0.95262,0.94429,0.98009,0.79065,0.94539,0.36969,0.0019,5.95e-05,5.95e-05,5.95e-05
97,2759.94,1.04738,0.47721,0.00151,0.94318,0.95311,0.98053,0.79682,0.93261,0.36576,0.00187,4.96e-05,4.96e-05,4.96e-05
98,2788.87,1.0377,0.44947,0.0015,0.94278,0.95071,0.98073,0.79308,0.94111,0.3681,0.0019,3.97e-05,3.97e-05,3.97e-05
99,2816.67,1.04618,0.4631,0.00154,0.94549,0.95181,0.98033,0.79006,0.94677,0.36934,0.0019,2.98e-05,2.98e-05,2.98e-05
100,2842.97,1.02909,0.46714,0.00149,0.94318,0.95302,0.98073,0.79428,0.93446,0.3657,0.00188,1.99e-05,1.99e-05,1.99e-05
